[INITIAL] Gas: 0kg | Liquid: 1000kg | Solid: 0kg | TOTAL: 1000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
Gas: 0.000kg | Liquid: 1000.000kg | Solid: 0.000kg | TOTAL: 1000.000kg
2026-04-24 11:04:34 | Gas: 0.000kg | Liquid: 56000.000kg | Solid: 0.000kg | TOTAL: 56000.000kg | Change: 55000.000kg (5500.000%)
Gas: 0.000kg | Liquid: 56000.000kg | Solid: 0.000kg | TOTAL: 56000.000kg
2026-04-24 11:04:36 | Gas: 0.000kg | Liquid: 103000.000kg | Solid: 48000.000kg | TOTAL: 151000.000kg | Change: 95000.000kg (169.643%)
Gas: 0.000kg | Liquid: 103000.000kg | Solid: 48000.000kg | TOTAL: 151000.000kg
2026-04-24 11:04:37 | Gas: 0.000kg | Liquid: 168000.000kg | Solid: 50000.000kg | TOTAL: 218000.000kg | Change: 67000.000kg (44.371%)
Gas: 0.000kg | Liquid: 168000.000kg | Solid: 50000.000kg | TOTAL: 218000.000kg
2026-04-24 11:04:38 | Gas: 0.000kg | Liquid: 188000.000kg | Solid: 41000.000kg | TOTAL: 229000.000kg | Change: 11000.000kg (5.046%)
Gas: 0.000kg | Liquid: 188000.000kg | Solid: 41000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 193000.000kg | Solid: 36000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 193000.000kg | Solid: 36000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 192000.000kg | Solid: 37000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 189000.000kg | Solid: 40000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 183000.000kg | Solid: 46000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 172000.000kg | Solid: 57000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 167000.000kg | Solid: 62000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 165000.000kg | Solid: 64000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 165000.000kg | Solid: 64000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 166000.000kg | Solid: 63000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 165000.000kg | Solid: 64000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 164000.000kg | Solid: 65000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 164000.000kg | Solid: 65000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 163000.000kg | Solid: 66000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 163000.000kg | Solid: 66000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 163000.000kg | Solid: 66000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 163000.000kg | Solid: 66000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 162000.000kg | Solid: 67000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 163000.000kg | Solid: 66000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 162000.000kg | Solid: 67000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 158000.000kg | Solid: 71000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 154000.000kg | Solid: 75000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 153000.000kg | Solid: 76000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 151000.000kg | Solid: 78000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 150000.000kg | Solid: 79000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 149000.000kg | Solid: 80000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 147000.000kg | Solid: 82000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 143000.000kg | Solid: 86000.000kg | TOTAL: 229000.000kg
Gas: 0.000kg | Liquid: 141000.000kg | Solid: 88000.000kg | TOTAL: 229000.000kg
2026-04-24 11:05:09 | Gas: 0.000kg | Liquid: 136998.000kg | Solid: 92000.000kg | TOTAL: 228998.000kg | Change: -2.000kg (-0.001%)
Gas: 0.000kg | Liquid: 136998.000kg | Solid: 92000.000kg | TOTAL: 228998.000kg
Gas: 0.000kg | Liquid: 130998.000kg | Solid: 98000.000kg | TOTAL: 228998.000kg
Gas: 0.000kg | Liquid: 126998.000kg | Solid: 102000.000kg | TOTAL: 228998.000kg
Gas: 0.000kg | Liquid: 125998.000kg | Solid: 103000.000kg | TOTAL: 228998.000kg
